epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18522.8,0.81722,0.64641,0.80243,0.40271,0.95171,0.6306,0.59897,0.25084,1.13538,0.79918,0.005842,0.005842,0.005842
44,18949.7,0.81509,0.6439,0.80201,0.42152,0.95005,0.67146,0.6373,0.2512,1.15307,0.79887,0.005743,0.005743,0.005743
45,19379.9,0.80342,0.63482,0.80125,0.44674,0.94309,0.7083,0.67179,0.25186,1.16793,0.79857,0.005644,0.005644,0.005644
46,19808.4,0.79588,0.62951,0.80049,0.47365,0.93125,0.73896,0.70073,0.2521,1.17899,0.79833,0.005545,0.005545,0.005545
47,20239.3,0.79107,0.63028,0.80041,0.50083,0.91749,0.76463,0.72511,0.25253,1.18702,0.79811,0.005446,0.005446,0.005446
48,20668.3,0.78876,0.62447,0.80065,0.52674,0.90282,0.78597,0.74512,0.25336,1.18866,0.79792,0.005347,0.005347,0.005347
49,21096.7,0.78162,0.62099,0.80006,0.55272,0.88486,0.80293,0.76129,0.25339,1.18182,0.7978,0.005248,0.005248,0.005248
50,21527.2,0.77521,0.61703,0.79981,0.57931,0.87356,0.81655,0.77454,0.25198,1.16777,0.79771,0.005149,0.005149,0.005149
51,21959.1,0.77305,0.61681,0.79974,0.60209,0.87006,0.8261,0.78372,0.25116,1.14922,0.79766,0.00505,0.00505,0.00505
52,22390.5,0.76719,0.61249,0.79959,0.62442,0.87208,0.83349,0.79086,0.25034,1.12594,0.79761,0.004951,0.004951,0.004951
53,22818.4,0.75632,0.60178,0.7989,0.64718,0.87249,0.83994,0.79747,0.24859,1.09875,0.79761,0.004852,0.004852,0.004852
54,23249.1,0.75609,0.60857,0.79865,0.66759,0.88143,0.84599,0.80326,0.24747,1.06709,0.79764,0.004753,0.004753,0.004753
55,23678.8,0.74557,0.5958,0.79805,0.68835,0.89307,0.85442,0.81216,0.24585,1.02938,0.7977,0.004654,0.004654,0.004654
56,24108.1,0.74692,0.59906,0.79831,0.70851,0.89916,0.86345,0.82168,0.24448,0.99296,0.79775,0.004555,0.004555,0.004555
57,24537,0.73858,0.59444,0.79763,0.72502,0.90609,0.87165,0.83001,0.24283,0.95459,0.79784,0.004456,0.004456,0.004456
58,24964.8,0.73474,0.5921,0.79792,0.74034,0.91487,0.88301,0.84176,0.24073,0.91109,0.79794,0.004357,0.004357,0.004357
59,25395.1,0.72718,0.58963,0.79757,0.75418,0.92303,0.89755,0.8569,0.23789,0.86311,0.7981,0.004258,0.004258,0.004258
60,25823.3,0.72156,0.58411,0.79692,0.76546,0.93055,0.91109,0.87091,0.2356,0.81921,0.79825,0.004159,0.004159,0.004159
61,26252,0.722,0.58495,0.797,0.77658,0.93742,0.92539,0.88547,0.23279,0.77176,0.7984,0.00406,0.00406,0.00406
62,26679.6,0.71509,0.58267,0.79678,0.78703,0.94452,0.93895,0.8993,0.23043,0.72549,0.79854,0.003961,0.003961,0.003961
63,27111.9,0.70712,0.57437,0.79603,0.79712,0.95226,0.95243,0.91302,0.22832,0.68084,0.79867,0.003862,0.003862,0.003862
64,27538.7,0.70441,0.57266,0.79565,0.80684,0.95796,0.96357,0.92517,0.22573,0.63225,0.79879,0.003763,0.003763,0.003763
65,27967.6,0.69756,0.56781,0.79562,0.81443,0.9656,0.9725,0.93476,0.22305,0.58797,0.79894,0.003664,0.003664,0.003664
66,28396.2,0.68519,0.55963,0.79519,0.82156,0.97206,0.98005,0.94256,0.22113,0.54317,0.79905,0.003565,0.003565,0.003565
67,28824.7,0.68723,0.56102,0.7953,0.82775,0.97638,0.9848,0.9476,0.21888,0.50592,0.79918,0.003466,0.003466,0.003466
68,29254.1,0.67616,0.55635,0.79417,0.83503,0.97876,0.98846,0.95145,0.21699,0.47059,0.79929,0.003367,0.003367,0.003367
69,29682.8,0.66997,0.55099,0.79419,0.84658,0.97555,0.99109,0.95479,0.215,0.43818,0.79939,0.003268,0.003268,0.003268
70,30111.9,0.66907,0.55338,0.79468,0.86256,0.96748,0.99253,0.95644,0.21362,0.41219,0.79947,0.003169,0.003169,0.003169
71,30539.8,0.66293,0.54612,0.79316,0.88325,0.95717,0.99337,0.95787,0.21211,0.39002,0.79949,0.00307,0.00307,0.00307
72,30967.4,0.65964,0.54612,0.7937,0.90439,0.95261,0.99398,0.95892,0.20992,0.36855,0.79952,0.002971,0.002971,0.002971
73,31397.1,0.65671,0.5437,0.7937,0.925,0.95349,0.99438,0.95948,0.20803,0.34779,0.7995,0.002872,0.002872,0.002872
74,31836,0.64968,0.54121,0.79318,0.94139,0.96037,0.99463,0.96042,0.20637,0.32689,0.79948,0.002773,0.002773,0.002773
75,32262.1,0.64376,0.53675,0.7933,0.95431,0.96689,0.99479,0.9606,0.20536,0.30921,0.79945,0.002674,0.002674,0.002674
76,32684,0.64013,0.53506,0.79241,0.96384,0.97213,0.99487,0.96101,0.20457,0.29464,0.79938,0.002575,0.002575,0.002575
77,33107,0.63358,0.52997,0.79202,0.9718,0.97746,0.99492,0.961,0.20351,0.28176,0.79929,0.002476,0.002476,0.002476
78,33531,0.62801,0.52851,0.79177,0.97811,0.98318,0.99495,0.96117,0.20294,0.26836,0.79918,0.002377,0.002377,0.002377
79,33954.1,0.61986,0.5241,0.79225,0.98359,0.98671,0.99497,0.96159,0.20178,0.2571,0.79907,0.002278,0.002278,0.002278
80,34377.4,0.61021,0.51725,0.79107,0.9863,0.98887,0.99498,0.96199,0.19994,0.24792,0.79893,0.002179,0.002179,0.002179
81,34800,0.60736,0.51573,0.79113,0.98991,0.9906,0.99499,0.96234,0.19858,0.23847,0.7988,0.00208,0.00208,0.00208
82,35222.2,0.60457,0.5156,0.7914,0.99218,0.99207,0.99499,0.96247,0.19764,0.23044,0.79865,0.001981,0.001981,0.001981
83,35646.8,0.60012,0.51158,0.79051,0.99392,0.99317,0.99499,0.96266,0.19661,0.22406,0.79852,0.001882,0.001882,0.001882
84,36067.7,0.59,0.50543,0.78975,0.99495,0.99427,0.99499,0.96305,0.19549,0.21759,0.79839,0.001783,0.001783,0.001783
85,36488.6,0.58763,0.50491,0.79021,0.99552,0.99528,0.995,0.96326,0.1946,0.21205,0.79826,0.001684,0.001684,0.001684
86,36909.8,0.57989,0.49796,0.78956,0.99661,0.99574,0.995,0.9635,0.19348,0.20671,0.79814,0.001585,0.001585,0.001585
87,37332.4,0.57674,0.49777,0.78951,0.99717,0.99642,0.995,0.96407,0.19267,0.2019,0.798,0.001486,0.001486,0.001486
88,37759.2,0.5684,0.49196,0.78857,0.99767,0.99658,0.995,0.96482,0.19097,0.19776,0.79784,0.001387,0.001387,0.001387
89,38189.7,0.56144,0.48732,0.789,0.99794,0.99702,0.995,0.96576,0.18937,0.19326,0.79767,0.001288,0.001288,0.001288
90,38621,0.55396,0.48292,0.78862,0.99818,0.99751,0.995,0.96611,0.18812,0.18875,0.7975,0.001189,0.001189,0.001189
91,39055.9,0.28248,0.24642,0.76924,0.99821,0.99778,0.995,0.96588,0.18757,0.1857,0.79736,0.00109,0.00109,0.00109
92,39486.9,0.2702,0.23826,0.76806,0.99838,0.99797,0.995,0.96586,0.18701,0.18274,0.79722,0.000991,0.000991,0.000991
93,39920.3,0.25956,0.22974,0.76752,0.99851,0.99798,0.995,0.96595,0.18631,0.18003,0.79709,0.000892,0.000892,0.000892
94,40352.2,0.25471,0.22565,0.76765,0.9986,0.99809,0.995,0.96573,0.18545,0.17708,0.79697,0.000793,0.000793,0.000793
95,40784.9,0.25134,0.22476,0.76756,0.99858,0.99804,0.995,0.96549,0.18454,0.17428,0.79687,0.000694,0.000694,0.000694
96,41216.7,0.24467,0.22,0.76737,0.99855,0.99822,0.995,0.96544,0.18415,0.17172,0.79676,0.000595,0.000595,0.000595
97,41646.8,0.23991,0.21601,0.76732,0.99856,0.99829,0.995,0.96537,0.18358,0.16867,0.79664,0.000496,0.000496,0.000496
98,42077.8,0.23595,0.21305,0.76645,0.99853,0.99843,0.995,0.96567,0.18272,0.1662,0.7965,0.000397,0.000397,0.000397
99,42509.7,0.22751,0.20602,0.7661,0.99875,0.99835,0.995,0.9662,0.18145,0.16331,0.79634,0.000298,0.000298,0.000298
100,42939.3,0.22643,0.2048,0.76573,0.99888,0.99839,0.995,0.96702,0.18042,0.16045,0.7962,0.000199,0.000199,0.000199
