epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26.968,1.07032,1.46138,0.93235,0.85263,0.91856,0.97626,0.70575,1.08925,1.07689,0.99293,0.0005941,0.0005941,0.0005941
43,27.6677,1.11875,1.36265,0.93196,0.8761,0.92828,0.98326,0.73221,1.01159,1.01675,0.96412,0.0005842,0.0005842,0.0005842
44,28.3289,1.02787,1.3455,0.96205,0.8761,0.92828,0.98326,0.73221,1.01159,1.01675,0.96412,0.0005743,0.0005743,0.0005743
45,29.0146,1.01285,1.23487,0.94791,0.8761,0.92828,0.98326,0.73221,1.01159,1.01675,0.96412,0.0005644,0.0005644,0.0005644
46,29.6583,1.06996,1.30194,0.93543,0.86148,0.98264,0.98942,0.70354,1.03419,0.98251,0.95555,0.0005545,0.0005545,0.0005545
47,30.2309,0.99266,1.20012,0.89912,0.86148,0.98264,0.98942,0.70354,1.03419,0.98251,0.95555,0.0005446,0.0005446,0.0005446
48,30.8165,1.00417,1.21209,0.91737,0.86148,0.98264,0.98942,0.70354,1.03419,0.98251,0.95555,0.0005347,0.0005347,0.0005347
49,31.39,1.03477,1.24481,0.92581,0.86148,0.98264,0.98942,0.70354,1.03419,0.98251,0.95555,0.0005248,0.0005248,0.0005248
50,32.0035,0.96226,1.20852,0.90262,0.86978,1,0.98952,0.73469,0.97273,0.93271,0.93421,0.0005149,0.0005149,0.0005149
51,32.616,1.02856,1.234,0.91847,0.86978,1,0.98952,0.73469,0.97273,0.93271,0.93421,0.000505,0.000505,0.000505
52,33.175,0.95962,1.18462,0.87741,0.86978,1,0.98952,0.73469,0.97273,0.93271,0.93421,0.0004951,0.0004951,0.0004951
53,33.7917,0.95094,1.17433,0.90256,0.90438,0.98669,0.99165,0.75196,0.92946,0.87568,0.92043,0.0004852,0.0004852,0.0004852
54,34.3806,0.9523,1.11395,0.90923,0.90438,0.98669,0.99165,0.75196,0.92946,0.87568,0.92043,0.0004753,0.0004753,0.0004753
