epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10714.3,2.88632,2.71485,0.98774,0.01512,0.89873,0.05962,0.01938,2.63032,2.46024,0.98985,0.007921,0.007921,0.007921
44,10966.6,2.88565,2.70055,0.98579,0.01512,0.89848,0.0606,0.01967,2.6325,2.45462,0.98998,0.0078715,0.0078715,0.0078715
45,11217.4,2.8775,2.69602,0.98481,0.0151,0.89726,0.06088,0.01975,2.63887,2.4523,0.99062,0.007822,0.007822,0.007822
46,11467.2,2.88013,2.69895,0.98469,0.01511,0.89677,0.06131,0.01987,2.64371,2.44873,0.99118,0.0077725,0.0077725,0.0077725
47,11717.9,2.87329,2.69781,0.98522,0.01514,0.89826,0.06234,0.02036,2.64813,2.44413,0.99154,0.007723,0.007723,0.007723
48,11968.8,2.88283,2.7086,0.98733,0.01513,0.89771,0.0628,0.02047,2.65182,2.44047,0.99182,0.0076735,0.0076735,0.0076735
49,12222,2.8643,2.68832,0.9828,0.01515,0.89792,0.06351,0.02081,2.65582,2.43666,0.99221,0.007624,0.007624,0.007624
50,12475,2.86867,2.70359,0.98502,0.01511,0.89644,0.06323,0.02059,2.66561,2.43935,0.99345,0.0075745,0.0075745,0.0075745
51,12726.5,2.86711,2.69798,0.98457,0.01507,0.8951,0.06302,0.02051,2.67604,2.44124,0.99464,0.007525,0.007525,0.007525
52,12979.4,2.86365,2.69161,0.98389,0.01508,0.89612,0.06322,0.0205,2.68124,2.44135,0.99506,0.0074755,0.0074755,0.0074755
53,13232.4,2.84962,2.67895,0.98129,0.01512,0.89803,0.0642,0.02095,2.67693,2.4356,0.99432,0.007426,0.007426,0.007426
54,13485.8,2.84138,2.68163,0.98137,0.01516,0.89996,0.06548,0.02148,2.67157,2.42819,0.9935,0.0073765,0.0073765,0.0073765
55,13738.9,2.85059,2.6769,0.98209,0.01523,0.90357,0.06696,0.0221,2.66243,2.42066,0.99212,0.007327,0.007327,0.007327
56,13991.3,2.84422,2.67573,0.98185,0.01529,0.90714,0.06782,0.02247,2.65544,2.41515,0.99105,0.0072775,0.0072775,0.0072775
57,14243.6,2.83931,2.67257,0.9799,0.01532,0.90887,0.0682,0.02263,2.65323,2.41154,0.9906,0.007228,0.007228,0.007228
58,14495.9,2.82952,2.67481,0.97985,0.01539,0.91193,0.06895,0.02308,2.64361,2.4051,0.98928,0.0071785,0.0071785,0.0071785
59,14745.9,2.82559,2.66985,0.97977,0.01547,0.91575,0.06997,0.0236,2.63403,2.39624,0.9878,0.007129,0.007129,0.007129
60,14998.3,2.82848,2.67353,0.97986,0.01553,0.91951,0.07113,0.0241,2.6248,2.38956,0.98654,0.0070795,0.0070795,0.0070795
61,15248.7,2.82409,2.66476,0.97898,0.01558,0.92218,0.07199,0.02447,2.61579,2.38303,0.98534,0.00703,0.00703,0.00703
62,15499.5,2.82036,2.66625,0.97876,0.01564,0.92462,0.07291,0.02498,2.60999,2.37657,0.98446,0.0069805,0.0069805,0.0069805
63,15751.3,2.82038,2.65989,0.97791,0.01566,0.92528,0.0729,0.02493,2.60894,2.37415,0.98423,0.006931,0.006931,0.006931
64,16001.5,2.80712,2.65106,0.97595,0.01571,0.92803,0.07387,0.02546,2.60204,2.36853,0.98332,0.0068815,0.0068815,0.0068815
65,16251.9,2.80779,2.65303,0.97674,0.01578,0.93014,0.07465,0.0259,2.5898,2.36104,0.98182,0.006832,0.006832,0.006832
66,16503.4,2.81061,2.65936,0.97695,0.01582,0.93198,0.07505,0.02612,2.58588,2.35823,0.98133,0.0067825,0.0067825,0.0067825
67,16755.3,2.8156,2.65264,0.97658,0.01587,0.93425,0.07571,0.02647,2.57621,2.35237,0.9802,0.006733,0.006733,0.006733
68,17006.3,2.80827,2.65839,0.97761,0.01593,0.9366,0.07698,0.02706,2.56426,2.34586,0.97885,0.0066835,0.0066835,0.0066835
69,17259,2.79862,2.6493,0.97557,0.01599,0.93951,0.07809,0.02775,2.55006,2.3398,0.97724,0.006634,0.006634,0.006634
70,17510.3,2.78954,2.64991,0.97515,0.01602,0.9412,0.07882,0.02819,2.54051,2.33508,0.97613,0.0065845,0.0065845,0.0065845
71,17761.9,2.79583,2.64462,0.97498,0.0161,0.94339,0.07971,0.02876,2.52549,2.32809,0.97429,0.006535,0.006535,0.006535
72,18012.5,2.78861,2.63623,0.97448,0.01616,0.94537,0.0803,0.02912,2.51516,2.32298,0.97313,0.0064855,0.0064855,0.0064855
